Gene	FC	FDR	pct.exp	ID	Class	Direction
1	AAK1	0.501823532520495	3.22347481444558e-69	85.9747921694824	CA1_Posterior	CA1	Posterior
2	ABI1	0.378139483577336	3.64047387172294e-30	63.2341110217216	CA1_Posterior	CA1	Posterior
3	ABLIM2	-0.352594889215976	1.15519317873e-21	42.2633413783856	CA1_Anterior	CA1	Anterior
4	ACTR3	0.330172004623186	4.19938638154775e-24	50.2279431482971	CA1_Posterior	CA1	Posterior
5	ADAMTSL1	0.364757080750205	6.83556353567399e-19	46.2054170018772	CA1_Posterior	CA1	Posterior
6	ADD2	0.447321428973819	1.05650538255877e-32	66.3180477339769	CA1_Posterior	CA1	Posterior
7	ADGRL2	-0.338175001385516	1.98677335386628e-78	51.1128989005095	CA1_Anterior	CA1	Anterior
8	ADGRL3	-0.316330984049652	5.72154967136851e-40	95.8970233306516	CA1_Anterior	CA1	Anterior
9	ADGRV1	0.653492741564432	3.93476697188727e-67	75.5698578707428	CA1_Posterior	CA1	Posterior
10	ADRBK2	0.559869817771201	1.22158020787742e-54	76.8838830785733	CA1_Posterior	CA1	Posterior
11	AFF3	0.35826422248521	5.94116736532813e-42	91.740412979351	CA1_Posterior	CA1	Posterior
12	AGAP1	-0.323449682612716	2.83810210784822e-28	77.6347546259051	CA1_Anterior	CA1	Anterior
13	AGAP3	0.440524474900834	1.0138131878057e-28	52.3732904263878	CA1_Posterior	CA1	Posterior
14	ALCAM	-0.56491125322472	2.31032165656432e-107	36.1491016358273	CA1_Anterior	CA1	Anterior
15	ANKRD30BL	0.300294977704673	7.17496187038499e-12	75.8380262805042	CA1_Posterior	CA1	Posterior
16	ANKRD33B	0.542436511411446	7.45644110854866e-36	77.420219898096	CA1_Posterior	CA1	Posterior
17	ANO5	0.405921225112019	4.15248827851058e-22	66.1839635290963	CA1_Posterior	CA1	Posterior
18	APBA1	-0.345588014824076	1.71184335767366e-19	59.3188522392062	CA1_Anterior	CA1	Anterior
19	APC	-0.322676532067976	5.62900305396746e-27	35.290962724591	CA1_Anterior	CA1	Anterior
20	ARC	0.301362484649605	1.265654338605e-13	46.0981496379726	CA1_Posterior	CA1	Posterior
21	ARHGAP26	0.314136972221313	1.2170608298252e-25	86.3770447841244	CA1_Posterior	CA1	Posterior
22	ARHGAP44	0.415536440231692	5.08172300765994e-33	77.822472512738	CA1_Posterior	CA1	Posterior
23	ARHGEF3	0.60984318552788	6.64699105000831e-55	75.0603378921963	CA1_Posterior	CA1	Posterior
24	ARHGEF7	0.589755047602023	1.98953709606969e-66	85.8138911236256	CA1_Posterior	CA1	Posterior
25	ARID5A	0.330302367574936	1.45601439774323e-30	34.9155269509252	CA1_Posterior	CA1	Posterior
26	ARID5B	0.426138500956233	8.86344766606825e-21	68.9729149906141	CA1_Posterior	CA1	Posterior
27	ARPC2	0.34235933494099	2.27066051381601e-17	55.7790292303567	CA1_Posterior	CA1	Posterior
28	ATP1B3	0.595340512531163	2.33700675701319e-43	73.0222579780102	CA1_Posterior	CA1	Posterior
29	ATP2B1	0.369021586966894	1.44159393423254e-42	89.0319120407616	CA1_Posterior	CA1	Posterior
30	ATP2C1	0.304874167181749	1.52942356232738e-18	73.5049611155806	CA1_Posterior	CA1	Posterior
31	ATP6V1H	0.35110284846227	3.9505371895794e-18	71.7618664521319	CA1_Posterior	CA1	Posterior
32	ATXN1	0.420548662897981	4.0205743375353e-46	91.1772593188523	CA1_Posterior	CA1	Posterior
33	BAALC	0.32816616142256	2.10585564146291e-15	50.3352105122017	CA1_Posterior	CA1	Posterior
34	BAIAP2	0.421508417014866	4.73467484271398e-26	67.6052561008313	CA1_Posterior	CA1	Posterior
35	BCL11A	0.31039187176495	8.33479849164161e-20	79.1364977205685	CA1_Posterior	CA1	Posterior
36	BCL11B	0.933356191914428	4.04122459626984e-98	78.5733440600697	CA1_Posterior	CA1	Posterior
37	BCL6	0.587461626927946	3.39323274678083e-54	44.6232233842853	CA1_Posterior	CA1	Posterior
