"Gene"	"FC"	"FDR"	"pct.exp"
"1"	"AAK1"	0.501823532520495	3.22347481444558e-69	85.9747921694824
"2"	"ABI1"	0.378139483577336	3.64047387172294e-30	63.2341110217216
"3"	"ABLIM2"	-0.352594889215976	1.15519317873e-21	42.2633413783856
"4"	"ACTR3"	0.330172004623186	4.19938638154775e-24	50.2279431482971
"5"	"ADAMTSL1"	0.364757080750205	6.83556353567399e-19	46.2054170018772
"6"	"ADD2"	0.447321428973819	1.05650538255877e-32	66.3180477339769
"7"	"ADGRL2"	-0.338175001385516	1.98677335386628e-78	51.1128989005095
"8"	"ADGRL3"	-0.316330984049652	5.72154967136851e-40	95.8970233306516
"9"	"ADGRV1"	0.653492741564432	3.93476697188727e-67	75.5698578707428
"10"	"ADRBK2"	0.559869817771201	1.22158020787742e-54	76.8838830785733
"11"	"AFF3"	0.35826422248521	5.94116736532813e-42	91.740412979351
"12"	"AGAP1"	-0.323449682612716	2.83810210784822e-28	77.6347546259051
"13"	"AGAP3"	0.440524474900834	1.0138131878057e-28	52.3732904263878
"14"	"ALCAM"	-0.56491125322472	2.31032165656432e-107	36.1491016358273
"15"	"ANKRD30BL"	0.300294977704673	7.17496187038499e-12	75.8380262805042
"16"	"ANKRD33B"	0.542436511411446	7.45644110854866e-36	77.420219898096
"17"	"ANO5"	0.405921225112019	4.15248827851058e-22	66.1839635290963
"18"	"APBA1"	-0.345588014824076	1.71184335767366e-19	59.3188522392062
"19"	"APC"	-0.322676532067976	5.62900305396746e-27	35.290962724591
"20"	"ARC"	0.301362484649605	1.265654338605e-13	46.0981496379726
"21"	"ARHGAP26"	0.314136972221313	1.2170608298252e-25	86.3770447841244
"22"	"ARHGAP44"	0.415536440231692	5.08172300765994e-33	77.822472512738
"23"	"ARHGEF3"	0.60984318552788	6.64699105000831e-55	75.0603378921963
"24"	"ARHGEF7"	0.589755047602023	1.98953709606969e-66	85.8138911236256
"25"	"ARID5A"	0.330302367574936	1.45601439774323e-30	34.9155269509252
"26"	"ARID5B"	0.426138500956233	8.86344766606825e-21	68.9729149906141
"27"	"ARPC2"	0.34235933494099	2.27066051381601e-17	55.7790292303567
"28"	"ATP1B3"	0.595340512531163	2.33700675701319e-43	73.0222579780102
"29"	"ATP2B1"	0.369021586966894	1.44159393423254e-42	89.0319120407616
"30"	"ATP2C1"	0.304874167181749	1.52942356232738e-18	73.5049611155806
"31"	"ATP6V1H"	0.35110284846227	3.9505371895794e-18	71.7618664521319
"32"	"ATXN1"	0.420548662897981	4.0205743375353e-46	91.1772593188523
"33"	"BAALC"	0.32816616142256	2.10585564146291e-15	50.3352105122017
"34"	"BAIAP2"	0.421508417014866	4.73467484271398e-26	67.6052561008313
"35"	"BCL11A"	0.31039187176495	8.33479849164161e-20	79.1364977205685
"36"	"BCL11B"	0.933356191914428	4.04122459626984e-98	78.5733440600697
"37"	"BCL6"	0.587461626927946	3.39323274678083e-54	44.6232233842853
"38"	"BDNF"	0.532128734238572	4.74013485562e-32	58.2193617591848
"39"	"BRINP1"	0.339015083467673	4.27869690948725e-23	82.4081523196568
"40"	"C1orf21"	0.35163217500386	3.41901555265293e-19	59.7747385358005
"41"	"CABP1"	0.585079245659634	3.51506569336765e-61	80.7991418610888
"42"	"CACHD1"	0.344247939104176	3.05569033982229e-22	55.7790292303567
"43"	"CACNB2"	0.434391605287257	3.64886045886767e-76	96.5138106731027
"45"	"CACNG3"	0.56210556285098	2.78449625787324e-37	84.3925985518906
"46"	"CACNG8"	0.388511309075221	9.62071303463132e-29	73.7463126843658
"47"	"CADPS2"	1.02768839909483	1.79032101943357e-146	81.7377312952534
"48"	"CALM1"	0.327821945765965	3.79844200750493e-19	81.0673102708501
"49"	"CAMK2A"	0.416500141894543	2.62060785558665e-51	88.9514615178332
"50"	"CAMK2B"	0.458032529597241	2.40429278600717e-53	83.8026280504157
"51"	"CAP2"	0.522891503309164	4.06592656019121e-49	72.3250201126307
"52"	"CCBE1"	0.533203367361999	1.04031972943404e-63	85.6261732367927
"53"	"CCDC3"	-0.375443879584295	1.4173906584507e-26	37.6776615714669
"54"	"CCPG1"	-0.308225669838757	1.73002656562756e-13	62.8586752480558
"55"	"CCSER1"	0.393838587634736	6.54619770132795e-76	97.9082864038616
"56"	"CDC37L1"	0.317461111693694	2.90844046994158e-10	57.4416733708769
"57"	"CDH12"	-1.00221948912981	1.46311533209506e-141	66.4253150978815
"58"	"CDH2"	-0.378814535982133	5.42573950240687e-27	54.5990882274068
"59"	"CDH20"	-0.316025279779941	1.00871947300555e-21	38.2676320729418
"60"	"CDH9"	-0.484199777458478	2.85088660094295e-37	26.4950388844194
"61"	"CDK6"	-0.319185224369552	2.11314266335098e-21	44.5427728613569
"62"	"CEP126"	-0.300839390631043	1.10373802365433e-17	45.8836149101636
"63"	"CHCHD6"	0.345513654461713	6.45940040901504e-18	56.5835344596407
"64"	"CHD9"	-0.311136819154782	1.1840023820198e-18	56.3958165728077
"65"	"CHL1"	-0.342833418668543	3.92151441836276e-19	71.6009654062751
"66"	"CHRM3"	0.455091612211756	7.80683006924417e-47	86.9133816036471
"67"	"CHST15"	0.570475569655265	2.34257686024765e-42	54.3309198176455
"68"	"CIT"	-0.322665365131636	2.0523288737273e-26	27.4604451595602
"69"	"CLMN"	0.332224371307046	5.10154281815486e-18	43.4969160632877
"70"	"CLMP"	1.24887942757458	9.9179836184733e-123	80.3968892464468
"71"	"CNTN3"	0.410711235575949	2.60078730400009e-23	69.4824349691606
"72"	"CNTN5"	-1.27674522348851	2.49847022829286e-214	61.8128184499866
"73"	"CNTNAP3B"	0.482445874916926	1.34150755402315e-32	67.4979887369268
"74"	"COBL"	-0.313582968823717	2.10229532269626e-18	38.9916867792974
"75"	"COL24A1"	0.789261121890098	1.10195674732518e-68	76.6961651917404
"76"	"COL25A1"	0.325075024740503	1.12790520900672e-16	45.5886296594261
"77"	"COL4A2"	0.303707620143222	9.51093699875005e-18	60.2306248323947
"78"	"COL5A2"	1.15323635707871	1.18420074132504e-93	74.1753821399839
"79"	"CPLX2"	0.359910823089881	3.87220716304927e-18	54.0091177259319
"80"	"CPNE4"	0.353071097088907	2.17868227195279e-16	58.8897827835881
"81"	"CPNE8"	0.568136866644529	4.50837123670631e-40	59.3188522392062
"82"	"CREB5"	-0.344682968231353	1.6886463816564e-37	26.1196031107536
"83"	"CRY2"	0.503251425984417	3.3106278285337e-34	57.4953070528292
"84"	"CSMD2"	0.33205228732173	4.32240364576274e-17	55.9935639581657
"85"	"CSRNP3"	0.403307774293506	7.40545630943534e-39	86.7524805577903
"86"	"CTDSPL"	-0.403885642792223	1.89261231562993e-31	34.5400911772593
"87"	"CTTNBP2"	0.453191685187286	1.32035172329331e-29	72.0836685438455
"88"	"CUX1"	-0.429118864503148	1.17971419626611e-48	30.437114507911
"89"	"CYFIP2"	0.33626137796583	2.27115104821614e-19	64.0386162510056
"90"	"DAAM1"	0.382703959219062	1.11693373101149e-25	80.9600429069456
"91"	"DDAH1"	0.591676964432994	7.14316594617991e-47	76.5352641458836
"92"	"DGKB"	0.317487104927171	2.10902618511353e-21	74.4703673907214
"93"	"DGKH"	0.374832334731407	1.35578253862042e-15	71.0646285867525
