"Gene"	"FC"	"FDR"	"pct.exp"
"1"	"ABCA2"	-0.365659967753434	3.51020620381135e-34	30.1112877583466
"2"	"ADAM22"	0.330488096850592	3.86740207634756e-27	80.8585055643879
"3"	"ADAMTS16"	0.319286225818342	4.39774215721999e-21	63.3492315845257
"5"	"ADIPOR2"	-0.418315592444996	1.20608768788228e-37	31.9554848966614
"6"	"ADRA1A"	0.38273926425981	3.69148312577064e-35	86.0731319554849
"7"	"ADRBK2"	0.364071299936438	3.81035310431074e-22	64.0169581346052
"8"	"AHI1"	0.319283778791123	3.6734631895391e-40	84.5468998410175
"9"	"ALDH1A2"	1.28489453153924	6.4672534343138e-176	57.371489136195
"10"	"ANKRD44"	-0.362670322252642	7.89284053908831e-32	28.7122416534181
"11"	"ANO4"	-0.62190931982537	2.93761396244376e-83	29.9735029146794
"12"	"ARAP2"	-0.482485871555626	3.63202257541358e-48	48.7864334923158
"13"	"ARHGAP21"	-0.465198230716027	7.09188377409941e-54	64.2713301536831
"14"	"ASIC2"	-0.342533993083862	1.1407886700663e-20	73.9480657127716
"15"	"ASTN2"	-0.481273821266812	1.45538683999659e-52	27.5569687334393
"18"	"BCL11B"	0.364625006430268	2.97389060590625e-24	57.9862215156333
"20"	"BTNL9"	0.345273392716465	2.54415263686231e-46	49.8039215686275
"24"	"CADM1"	-0.35996145118139	1.36523008285253e-49	85.5325914149444
"25"	"CAMK2B"	0.334445294183711	3.43532921104566e-37	79.9046104928458
"26"	"CAMK2D"	-0.322667618281699	1.6666806603368e-23	37.7742448330684
"27"	"CAP2"	0.328024147171803	3.29972704873121e-19	59.1414944356121
"30"	"CDH13"	-0.43842452543023	6.08562577506856e-30	66.4122946475888
"31"	"CDH18"	0.381697472559776	5.51532483954346e-30	80.2331743508214
"32"	"CDH20"	-0.508922375508668	4.16421955925451e-55	26.3487016428193
"33"	"CDH8"	0.309844703750376	4.06972635467268e-26	82.7556968733439
"34"	"CDHR3"	0.332003530722202	5.9627096963026e-20	55.2517223105458
"37"	"CHCHD6"	0.346843472978827	8.97570657952862e-24	54.2554319024907
"38"	"CHRM3"	-0.43437841356202	1.11236876695056e-59	25.087440381558
"39"	"CHST9"	0.500025089971022	1.26509397715624e-31	64.7164811870694
"41"	"CLSTN2"	0.527963060763802	4.8541387111731e-110	97.1913089560148
"42"	"CNGB1"	0.37967282216098	1.70942912017123e-27	53.1213566507684
"44"	"CNTN4"	-0.775936520925887	4.73330473405241e-86	49.7933227344992
"45"	"CNTN5"	-0.300696003158404	1.6635589075557e-18	85.903550609433
"46"	"CNTNAP4"	-0.45717811002391	2.03219619141427e-42	29.9841017488076
"47"	"COBL"	-0.406826762642693	2.81277879605544e-37	39.7456279809221
"48"	"COLEC12"	0.377357407018259	1.18645097746874e-32	45.7975622681505
"51"	"CTNNA3"	-1.25531772129807	1.9728345229273e-175	51.6693163751987
"53"	"DCC"	0.346954260822723	1.53927797312066e-30	85.9565447800742
"54"	"DIP2B"	-0.509491696554082	1.02896755177438e-49	63.1266560678325
"56"	"DLG1"	-0.425105756032719	7.82548901063639e-43	72.3900370959194
"57"	"DNER"	-0.330151133807774	1.8362262731261e-30	28.447270800212
"58"	"DNM3"	-0.513450982996137	1.53792071559581e-61	73.7254901960784
"60"	"DOCK5"	-0.669420223283954	8.04464130292847e-66	30.3126656067833
"61"	"DOCK9"	-0.329002447958467	8.61657941137537e-26	42.1091679915209
"62"	"DPP10"	-0.658721568512042	8.32004901754298e-52	69.9099099099099
"64"	"ELMO1"	-0.711629064164576	2.93374122723759e-70	41.854795972443
"65"	"ENOX1"	-0.57478163999576	5.49161214680053e-65	47.196608373079
"67"	"EPHA5"	0.337421983421549	1.93656677454468e-17	51.7753047164812
"68"	"ERBB4"	-0.897418727369526	8.34284271601805e-159	55.8346581875994
"69"	"ERBIN"	-0.550709099975786	2.05850304026049e-57	51.3407525172231
"70"	"ERC2"	0.322589024500793	3.05142168542761e-72	97.2019077901431
"71"	"ESRRG"	-0.566727915786411	1.02413817640867e-66	33.3757286698463
"76"	"FHIT"	-0.380784107687696	4.57903343541321e-26	67.6523582405935
"77"	"FHOD3"	0.317216488657328	1.6642023949978e-17	66.3169051404346
"78"	"FRMD4B"	-0.527404288090575	1.58460490759472e-45	25.9141494435612
"79"	"FRMD5"	-0.565660475911244	3.72349967119241e-66	79.2262851086381
